month,year,AirPtCd,minTmpF,maxTmpF,avgMinTmpF,avgMaxTmpF,avgTmpF,avgTmpDiffF,avgPrecipIn,maxWindMPH,avgWindMPH,numSunDay,numDay,city,state,longitude,latitude
Jan,2015.0,KAAO,1,71,22.387096774193548,44.83870967741935,33.806451612903224,22.451612903225808,0.03225806451612903,34,19.548387096774192,16.0,31.0,Wichita,Kansas,-97.2833,37.7167
Jan,2015.0,KACY,6,64,21.806451612903224,38.61290322580645,30.451612903225808,16.806451612903224,0.176,38,21.419354838709676,11.0,31.0,Atlantic City,New Jersey,-74.4167,39.3667
Jan,2015.0,KAGC,0,61,18.548387096774192,31.806451612903224,25.322580645161292,13.258064516129032,0.07290322580645162,30,15.741935483870968,5.0,31.0,Pittsburgh,Pennsylvania,-79.95,40.45
Jan,2015.0,KALB,-10,45,10.451612903225806,28.903225806451612,19.903225806451612,18.451612903225808,0.135625,37,21.677419354838708,2.0,31.0,Albany,New York,-73.75,42.6667
Jan,2015.0,KAMA,9,73,25.193548387096776,48.064516129032256,36.903225806451616,22.870967741935484,0.0575,36,21.806451612903224,18.0,31.0,Amarillo,Texas,-101.833,35.1833
Jan,2015.0,KANJ,-14,35,1.903225806451613,20.677419354838708,11.516129032258064,18.774193548387096,0.08333333333333333,28,17.322580645161292,5.0,31.0,Sault Ste Marie,Michigan,-84.35,46.5
Jan,2015.0,KART,-32,54,1.7419354838709677,28.580645161290324,15.451612903225806,26.838709677419356,0.07791666666666666,35,20.967741935483872,7.0,31.0,Watertown,New York,-75.9167,43.9667
Jan,2015.0,KATL,11,67,33.774193548387096,52.516129032258064,43.32258064516129,18.741935483870968,0.1503448275862069,32,19.387096774193548,6.0,31.0,Atlanta,Georgia,-84.3833,33.75
Jan,2015.0,KAVP,2,49,15.580645161290322,31.29032258064516,23.677419354838708,15.709677419354838,0.0748,33,18.93548387096774,6.0,31.0,Scranton,Pennsylvania,-75.65,41.4
Jan,2015.0,KBAD,16,75,32.70967741935484,54.32258064516129,43.58064516129032,21.612903225806452,0.20580645161290323,33,12.193548387096774,16.0,31.0,Shreveport,Louisiana,-93.7,32.4667
Jan,2015.0,KBFI,27,64,42.41935483870968,52.096774193548384,47.193548387096776,9.67741935483871,0.07064516129032258,22,10.129032258064516,4.0,31.0,Seattle,Washington,-122.333,47.6167
Jan,2015.0,KBFM,21,71,40.774193548387096,59.87096774193548,50.38709677419355,19.096774193548388,0.18483870967741936,24,15.580645161290322,18.0,31.0,Mobile,Alabama,-88.05,30.7
Jan,2015.0,KBGR,-20,49,3.4193548387096775,26.0,15.03225806451613,22.580645161290324,0.11208333333333334,36,20.322580645161292,9.0,31.0,Bangor,Maine,-68.7833,44.8
Jan,2015.0,KBHB,-11,50,7.645161290322581,28.612903225806452,18.29032258064516,20.967741935483872,0.050967741935483875,38,16.258064516129032,15.0,31.0,Eastport,Maine,-66.99,44.91
Jan,2015.0,KBHM,8,68,31.419354838709676,53.064516129032256,42.45161290322581,21.64516129032258,0.1510344827586207,43,17.06451612903226,11.0,31.0,Birmingham,Alabama,-86.8333,33.5
Jan,2015.0,KBIS,-21,53,8.935483870967742,29.193548387096776,19.258064516129032,20.258064516129032,0.028846153846153848,44,20.096774193548388,10.0,31.0,Bismarck,North Dakota,-100.783,46.8
Jan,2015.0,KBJC,3,71,25.29032258064516,46.774193548387096,36.12903225806452,21.483870967741936,0.0,46,17.258064516129032,11.0,31.0,Denver,Colorado,-105.0,39.75
Jan,2015.0,KBKE,-4,49,20.413793103448278,36.172413793103445,28.586206896551722,15.758620689655173,0.010869565217391306,24,10.642857142857142,12.0,31.0,Baker,Oregon,-117.833,44.7833
Jan,2015.0,KBKL,0,57,18.06451612903226,30.967741935483872,24.612903225806452,12.903225806451612,0.06225806451612903,39,22.322580645161292,3.0,31.0,Cleveland,Ohio,-81.6167,41.4667
Jan,2015.0,KBNA,4,67,27.870967741935484,47.41935483870968,37.903225806451616,19.548387096774192,0.08222222222222222,26,15.741935483870968,5.0,31.0,Nashville,Tennessee,-86.7833,36.1667
Jan,2015.0,KBOI,6,50,25.903225806451612,37.516129032258064,31.967741935483872,11.612903225806452,0.030740740740740742,22,12.258064516129032,6.0,31.0,Boise,Idaho,-116.217,43.6
Jan,2015.0,KBOS,-1,52,19.0,33.12903225806452,26.35483870967742,14.129032258064516,0.1322222222222222,37,22.806451612903224,6.0,31.0,Boston,Massachusetts,-71.0833,42.35
Jan,2015.0,KBUF,-4,55,12.32258064516129,28.548387096774192,20.70967741935484,16.225806451612904,0.16823529411764707,40,23.903225806451612,1.0,31.0,Buffalo,New York,-78.8333,42.9167
Jan,2015.0,KCEF,-11,39,9.483870967741936,28.70967741935484,19.29032258064516,19.225806451612904,0.09548387096774194,30,15.870967741935484,10.0,31.0,Springfield,Massachusetts,-72.5667,42.1
Jan,2015.0,KCHS,18,74,37.96774193548387,59.29032258064516,48.96774193548387,21.322580645161292,0.1412,31,17.93548387096774,9.0,31.0,Charleston,South Carolina,-79.9333,32.7833
Jan,2015.0,KCLT,8,67,29.35483870967742,51.25806451612903,40.516129032258064,21.903225806451612,0.1,26,14.870967741935484,10.0,31.0,Charlotte,North Carolina,-80.8333,35.2333
Jan,2015.0,KCNM,9,78,29.516129032258064,53.806451612903224,41.645161290322584,24.29032258064516,0.03096774193548387,31,15.709677419354838,17.0,31.0,Carlsbad,New Mexico,-104.25,32.4333
